haX,haY,haZ,hgX,hgY,hgZ,hmX,hmY,hmZ,aaX,aaY,aaZ,agX,agY,agZ,amX,amY,amZ,angle
-0.36,-0.33,0.70,-11.41,17.15,-3.54,352.68,886.28,-26.44,-0.56,-0.32,0.83,4.39,9.28,-5.07,-65.66,583.87,-227.46,180
-0.35,-0.37,0.51,17.03,-20.39,-2.99,356.34,900.90,-8.81,-0.51,-0.36,0.81,26.37,-19.84,-3.78,-72.76,598.06,-224.04,180
-0.39,-0.28,0.74,31.98,-27.04,-7.26,367.30,904.55,5.29,-0.32,-0.39,0.78,34.24,-8.36,-14.83,-70.99,592.74,-201.81,180
-0.33,-0.23,0.66,29.54,-9.46,-26.00,370.96,893.59,15.87,-0.44,-0.21,0.99,52.25,-40.95,-18.37,-33.72,580.32,-196.68,180
-0.13,-0.22,0.88,39.98,-36.87,-18.01,389.23,882.62,58.18,-0.20,-0.25,0.91,32.84,-3.85,-10.31,-33.72,573.22,-172.73,180
-0.13,-0.20,0.81,19.96,15.38,-11.90,418.47,868.01,54.65,-0.43,-0.18,0.92,29.48,-8.12,4.09,-19.52,580.32,-165.89,180
-0.13,-0.06,0.79,24.72,1.04,12.21,398.37,855.21,66.99,-0.30,-0.10,0.71,21.24,12.70,23.50,-37.27,569.67,-165.89,180
-0.21,-0.01,0.72,1.77,20.87,19.10,380.10,866.18,59.94,-0.35,-0.08,0.83,-5.80,-11.66,12.82,-26.62,583.87,-172.73,180
-0.24,-0.07,0.74,-14.53,-14.89,7.51,376.44,869.83,59.94,-0.30,-0.13,0.94,-3.78,-13.92,-1.95,-23.07,573.22,-179.58,180
-0.20,-0.10,0.80,-9.03,-7.39,-6.77,369.13,866.18,74.04,-0.29,-0.19,0.95,7.02,35.22,-12.76,-15.97,569.67,-183.00,180
-0.26,-0.15,0.76,-0.55,52.86,-16.36,387.40,866.18,35.26,-0.49,-0.22,0.98,11.41,74.52,-12.82,-19.52,580.32,-196.68,180
-0.37,-0.16,0.69,6.29,96.50,-13.37,407.51,868.01,8.81,-0.57,-0.19,0.79,17.27,108.89,-11.78,1.77,576.77,-254.83,180
-0.64,-0.11,0.39,-5.07,64.39,-9.46,411.16,849.73,-44.07,-0.58,-0.18,1.07,10.19,2.93,-9.16,5.32,576.77,-268.51,180
-0.53,-0.15,0.59,-3.85,17.21,-10.56,407.51,842.42,-37.02,-0.63,-0.17,0.71,3.36,17.64,-2.56,21.30,571.44,-273.64,180
-0.53,-0.18,0.55,-6.10,42.11,-2.38,420.30,829.63,-59.94,-0.70,-0.18,0.54,-3.11,34.73,0.92,24.85,564.34,-301.00,180
-0.57,-0.17,0.52,-6.77,52.12,0.92,407.51,824.15,-86.38,-0.80,-0.20,0.55,9.83,73.18,3.05,19.52,541.27,-340.34,180
-0.59,-0.18,0.43,3.54,72.75,7.75,411.16,816.84,-125.17,-0.87,-0.21,0.47,5.55,59.51,9.46,28.39,539.50,-376.25,180
-0.74,-0.19,0.28,-1.59,58.17,9.40,412.99,804.05,-137.51,-0.82,-0.22,0.39,6.47,67.57,4.21,26.62,512.88,-377.96,180
-0.86,-0.14,0.13,6.65,85.02,-0.61,412.99,771.15,-162.19,-0.91,-0.21,0.28,24.54,109.80,-8.12,12.42,473.84,-415.59,180
-0.93,-0.09,0.07,20.39,130.31,-8.91,427.61,723.64,-186.87,-0.99,-0.25,-0.07,14.10,123.17,-27.77,24.85,415.27,-437.82,180
-0.81,-0.16,-0.28,0.31,121.40,-28.75,433.09,656.03,-199.21,-1.20,-0.39,-0.39,8.12,76.17,-14.16,65.66,367.36,-470.32,180
-0.88,-0.19,-0.30,-6.41,62.07,-0.06,429.43,612.17,-195.69,-1.00,-0.31,-0.38,1.34,69.70,-4.39,51.47,314.12,-473.74,180
-0.86,-0.22,-0.53,-15.32,60.79,-2.44,431.26,566.49,-211.55,-0.78,-0.31,-0.37,14.34,89.05,-10.74,60.34,280.40,-475.45,180
-0.79,-0.20,-0.56,10.99,89.72,-9.46,429.43,531.77,-192.16,-0.77,-0.29,-0.60,-18.31,97.96,-7.51,19.52,204.09,-463.48,180
-0.67,-0.26,-0.77,-28.99,100.95,-1.83,418.47,491.57,-181.58,-0.65,-0.26,-0.61,-22.22,90.64,-7.20,19.52,129.55,-470.32,180
-0.61,-0.19,-1.01,-17.88,74.46,-2.14,396.54,447.71,-174.53,-0.58,-0.27,-0.89,4.70,81.91,-7.45,14.20,81.63,-434.40,180
-0.52,-0.16,-1.02,-15.26,66.77,-3.85,402.02,405.68,-126.93,-0.38,-0.26,-0.91,5.37,76.29,-12.76,-7.10,39.04,-420.72,180
-0.29,-0.20,-1.03,0.98,78.00,-9.64,392.89,381.92,-128.70,-0.35,-0.28,-0.91,-2.38,41.26,-7.32,-15.97,-1.77,-374.54,180
-0.19,-0.18,-1.08,-12.51,37.72,0.12,389.23,367.30,-89.91,-0.33,-0.25,-0.99,-16.05,32.41,9.09,-37.27,-15.97,-354.02,180
-0.19,-0.14,-1.16,-30.33,39.25,12.27,380.10,336.24,-91.67,-0.22,-0.21,-0.99,-15.87,40.95,10.80,-24.85,-28.39,-338.63,180
-0.12,-0.08,-1.17,-21.36,36.87,12.94,381.92,338.07,-79.33,-0.13,-0.17,-1.04,-3.66,31.80,12.88,-26.62,-51.47,-326.66,180
-0.12,-0.07,-1.26,-13.61,56.09,11.41,396.54,319.79,-61.70,-0.10,-0.18,-0.98,-15.38,57.74,1.65,-42.59,-46.14,-294.16,180
0.07,-0.04,-1.22,-20.69,41.50,5.68,374.61,305.17,-33.50,0.02,-0.12,-0.85,3.78,16.91,-1.16,-49.69,-67.44,-280.48,180
0.13,0.01,-1.19,8.36,-3.85,-4.15,376.44,296.04,-24.68,0.01,-0.13,-1.10,14.59,-21.97,0.31,-37.27,-62.11,-282.19,180
0.13,-0.01,-1.17,-3.97,-22.46,1.40,380.10,281.42,-45.84,-0.02,-0.15,-0.97,2.44,-23.80,11.78,-35.49,-42.59,-277.06,180
0.00,-0.02,-1.24,-2.69,-33.33,7.87,391.06,310.65,-49.36,-0.08,-0.15,-1.08,15.87,-43.58,9.09,-30.17,-40.82,-309.55,180
-0.01,0.00,-1.20,10.01,-63.11,3.36,383.75,332.58,-81.10,-0.21,-0.18,-1.06,21.36,-65.49,9.83,-24.85,-14.20,-342.05,180
-0.19,-0.02,-1.16,8.36,-74.16,2.81,391.06,350.86,-105.78,-0.34,-0.20,-0.95,28.32,-89.48,13.67,-10.65,21.30,-379.67,180
-0.31,-0.06,-1.07,10.86,-91.13,-0.55,392.89,374.61,-139.27,-0.49,-0.18,-0.92,2.08,-67.99,17.09,-1.77,69.21,-405.33,180
-0.47,-0.04,-1.10,-18.31,-54.87,8.67,409.33,423.95,-141.04,-0.54,-0.15,-0.76,11.05,-63.42,5.31,-5.32,94.06,-419.01,180
-0.54,-0.02,-0.99,5.55,-66.53,0.37,398.37,449.54,-176.30,-0.66,-0.15,-0.76,8.61,-41.93,7.51,14.20,141.97,-448.08,180
