A_T,A_Ax,A_Ay,A_Az,A_Gx,A_Gy,A_Gz,B_T,B_Ax,B_Ay,B_Az,B_Gx,B_Gy,B_Gz,angle
0,0.441894531,-0.282226563,-0.857910156,0.243902445,-0.060975611,0.365853667,0,-0.399902344,0.330566406,-0.8515625,-0.975609779,1.158536553,-0.48780489,180
0.05,0.441894531,-0.280273438,-0.855957031,-2.195122004,-0.060975611,-0.121951222,0.05,-0.395019531,0.338378906,-0.841796875,-0.243902445,1.707317114,-0.792682946,180
0.1,0.443359375,-0.275390625,-0.853515625,0.304878056,-0.304878056,-0.365853667,0.1,-0.396972656,0.334960938,-0.847167969,-1.158536553,1.036585331,-0.914634168,180
0.15,0.438476563,-0.284179688,-0.850585938,-0.365853667,0.060975611,-0.792682946,0.15,-0.394042969,0.341308594,-0.850097656,-0.914634168,1.280487776,-1.097561002,180
0.2,0.443847656,-0.284179688,-0.855957031,-0.670731723,0.060975611,-0.853658557,0.2,-0.395996094,0.336425781,-0.844726563,-0.426829278,0.914634168,-1.219512224,180
0.25,0.436523438,-0.283203125,-0.851074219,-1.280487776,0.243902445,-0.48780489,0.25,-0.396484375,0.344726563,-0.848144531,-1.585365891,0.914634168,-0.914634168,180
0.3,0.441894531,-0.285644531,-0.849121094,-0.670731723,-0.121951222,0.060975611,0.3,-0.395019531,0.335449219,-0.846191406,0.060975611,1.219512224,-0.609756112,180
0.35,0.435058594,-0.278320313,-0.85546875,0.304878056,0.548780501,0.304878056,0.35,-0.399902344,0.338378906,-0.848144531,-0.792682946,0.853658557,-0.426829278,180
0.4,0.444824219,-0.284667969,-0.850097656,-1.402438998,-0.182926834,0.182926834,0.4,-0.400390625,0.337890625,-0.845703125,0.48780489,1.463414669,-0.48780489,180
0.45,0.440917969,-0.275878906,-0.858886719,-0.853658557,0.365853667,0.182926834,0.45,-0.397949219,0.340820313,-0.854980469,-0.365853667,1.280487776,-0.304878056,180
0.5,0.439941406,-0.285644531,-0.85546875,-2.439024448,-0.182926834,-0.121951222,0.5,-0.39453125,0.329589844,-0.840820313,-0.426829278,0.731707335,-0.792682946,180
0.55,0.442382813,-0.285644531,-0.854492188,0.182926834,-0.304878056,0.670731723,0.55,-0.39453125,0.340820313,-0.850585938,-0.670731723,1.524390221,0.609756112,180
0.6,0.437011719,-0.274902344,-0.846679688,-0.914634168,-0.182926834,0.060975611,0.6,-0.389160156,0.344726563,-0.846679688,-0.975609779,0.792682946,-0.609756112,180
0.65,0.442382813,-0.280761719,-0.854003906,0.365853667,0.609756112,0.609756112,0.65,-0.400390625,0.334960938,-0.849121094,-0.426829278,1.097561002,0,180
0.7,0.440429688,-0.275390625,-0.855957031,-0.792682946,0.670731723,0.121951222,0.7,-0.395019531,0.34375,-0.847167969,-0.792682946,1.280487776,-0.243902445,180
0.75,0.4375,-0.279296875,-0.850097656,-1.890243888,-0.243902445,-0.182926834,0.75,-0.394042969,0.331054688,-0.83984375,-0.121951222,1.341463447,-0.609756112,180
0.8,0.44140625,-0.287109375,-0.848632813,-0.975609779,0.243902445,-0.060975611,0.8,-0.395507813,0.337402344,-0.85546875,0.853658557,0.853658557,0.182926834,180
0.85,0.44140625,-0.282226563,-0.853515625,-0.792682946,0.365853667,0.304878056,0.85,-0.394042969,0.334472656,-0.847167969,-0.609756112,1.158536553,-0.548780501,180
0.9,0.438964844,-0.282714844,-0.854492188,0.48780489,0.121951222,0.914634168,0.9,-0.395996094,0.333007813,-0.846191406,-0.609756112,0.548780501,0.060975611,180
